CLDR,Meaning,Note,Unicode
backhand-index-pointing-right-medium-light-skin-tone,[],['\nThe Backhand Index Pointing Right: Medium-Light Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Right: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-right-medium-skin-tone,[],['\nThe Backhand Index Pointing Right: Medium Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Right: Medium Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-right,['Index finger pointing to the right.'],[],['\nBackhand Index Pointing Right was approved as part of Unicode 6.0 in 2010 under the name “White Right Pointing Backhand Index” and added to Emoji 1.0 in 2015.\n']
backhand-index-pointing-up-dark-skin-tone,[],['\nThe Backhand Index Pointing Up: Dark Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Up: Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-up-light-skin-tone,[],['\nThe Backhand Index Pointing Up: Light Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Up: Light Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-up-medium-dark-skin-tone,[],['\nThe Backhand Index Pointing Up: Medium-Dark Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Up: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-up-medium-light-skin-tone,[],['\nThe Backhand Index Pointing Up: Medium-Light Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Up: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-up-medium-skin-tone,[],['\nThe Backhand Index Pointing Up: Medium Skin Tone emoji is a modifier sequence combining 👆 Backhand Index Pointing Up and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Up: Medium Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-up,"['Index finger pointing upward, showing the back of the hand while doing so.']",[],['\nBackhand Index Pointing Up was approved as part of Unicode 6.0 in 2010 under the name “White Up Pointing Backhand Index” and added to Emoji 1.0 in 2015.\n']
backpack,"['A school bag Emoji (also called a satchel) used by children attending school to carry books, lunch, and other personal belongings.']",[],['\nBackpack was approved as part of Unicode 6.0 in 2010 under the name “School Satchel” and added to Emoji 1.0 in 2015.\n']
bacon,"['Strips of crispy, fatty, reddish-brown bacon, as fried for breakfast. Depicted as a pair on most platforms.']",[],['\nBacon was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.\n']
badger,"['A badger, a stocky mammal in the weasel family with a\xa0long, pointed head. Generally depicted in full profile on all fours facing left, with a gray coat, black-and-white-striped face, and short tail.', 'Google’s design used to feature a friendly, cartoon-styled black-and-white badger face. Facebook’s badger is sitting on its hind legs.']",[],['\nBadger was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.\n']
badminton,[],[],['\nBadminton was approved as part of Unicode 8.0 in 2015 under the name “Badminton Racquet and Shuttlecock” and added to Emoji 1.0 in 2015.\n']
bagel,"['The brown bread of a bagel, shown sliced in two halves. Some platforms depict seeds, as sesame or poppy, and a schmear of cream cheese, with the bagel assembled as a sandwich. May resemble the Doughnut at small sizes.', 'After complaints, Apple updated the bagel emoji design during the iOS 12.1 beta cycle.']",[],['\nBagel was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.\n']
baggage-claim,[],[],['\nBaggage Claim was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
baguette-bread,"['The long, thin loaf of a baguette, with scoring on its golden-brown crust. A bread commonly associated with\xa0France.\xa0May also be used to denote financial success, as per the slang term ""let\'s get this bread"".']",[],['\nBaguette Bread was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.\n']
balance-scale,"['A balance scale, as historically used to measure weight. A symbol of justice, as held by Lady Justice, and of the zodiac sign of Libra, the Scales. Depicted as two silver or gold pans suspended from a beam and supported on a base.', 'Commonly used for various content concerning law and justice as well as various senses of balance and weight.', 'Samsung’s design previously featured a stylized, white balance scale on a green square, as an icon or symbol of legal matters or institutions.']",[],['\nBalance Scale was approved as part of Unicode 4.1 in 2005 under the name “Scales” and added to Emoji 1.0 in 2015.\n']
bald,[],[],['\nBald was approved as part of Unicode 11.0 in 2018 under the name “Emoji Component Bald” and added to Emoji 11.0 in 2018.\n']
ballet-shoes,"['Shoes worn by ballet dancers\xa0for\xa0pointe work.\xa0Most platforms show a pair of pink shoes resting on their pointes. Sometimes used to represent dancing in general, rather than ballet specifically. Sometimes also used to represent the color pink.']",[],['\nBallet Shoes was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.\n']
balloon,"['A balloon on a string, as decorates a birthday party. Generally depicted in red, though WhatsApp’s is pink and Google’s orangish-red.', 'Commonly used to convey congratulations and celebration, especially when wishing someone\xa0a happy birthday.', ""Microsoft and Samsung's balloons were previously blue;\xa0SoftBank's\xa0was shown floating in the sky.""]",[],['\nBalloon was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
ballot-box-with-ballot,"['A ballot box, as used to cast votes in an election. Depicted as a box, generally blue or gray, with a slot on top through which a paper ballot is being inserted. Many platforms display a\xa0cross mark\xa0or check mark on the ballot to indicate a vote, though Apple and Facebook leave theirs blank.', 'Commonly used for various content concerning voting and elections, especially in politics and government.']",[],['\nBallot Box with Ballot was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.\n']
banana,"['A ripe banana, peeled and ready to eat on major platforms. Great snack for a\xa0child\xa0or\xa0monkey.']",[],['\nBanana was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
banjo,['A banjo with a round body and a long neck. Used to talk about banjos or music in general.'],[],['\nBanjo was approved as part of Unicode 12.0 in 2019 and added to Emoji 12.0 in 2019.\n']
bank,"['A retail bank branch, where people can perform money-related tasks. Also a common location to find an ATM.', 'This emoji came to also mean ""slacking off"" or\xa0evading responsibility\xa0in Japan, due to the BK letters\xa0being associated with the slang term bakkureru.']",[],['\nBank was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
bar-chart,"['A bar graph generally showing three different-colored, vertical rectangles at various heights, as compares values across a category. Commonly used to represent various types of data, information, facts, figures, and charts more generally.', 'Several platforms, including Apple, depict\xa0(left to right) a green, red (lowest), and blue bar (highest). Google’s design previously included\xa0four bars, with yellow being the highest.']",[],['\nBar Chart was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
barber-pole,"['A pole spiraled with red, white, and blue stripes, as spins out front of a barbershop. Commonly used for various content concerning haircutting and hairstyling.', 'May also be associated with brothels in parts of Asia.']",[],['\nBarber Pole was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
baseball,"['A white baseball, with regulation red stitching. Used in the game of the same name, baseball.']",[],['\nBaseball was approved as part of Unicode 5.2 in 2009 and added to Emoji 1.0 in 2015.\n']
basket,"['A basket, as used for storing or carrying such things as food or clothes. Appearance widely varies across platforms but generally depicted as woven from wicker with one or more handles. Commonly used to represent doing laundry or having a picnic.', 'Apple and WhatsApp’s designs, featuring a white cloth, suggest a bread or picnic basket. Samsung’s design displays green fabric, as knitted from yarn.', 'Microsoft’s design previously suggested\xa0a laundry basket by holding a blue garment or cloth.', 'Not to be confused with 🗑️\xa0Wastebasket.']",[],['\nBasket was approved as part of Unicode 11.0 in 2018 and added to Emoji 11.0 in 2018.\n']
basketball,"['An orange-colored basketball. Originally intended to display as a basketball and a hoop, as per previous designs by Google, Samsung, and Microsoft.', 'This emoji can be sent on Facebook Messenger to unlock a hidden\xa0basketball game.']",[],['\nBasketball was approved as part of Unicode 6.0 in 2010 under the name “Basketball and Hoop” and added to Emoji 1.0 in 2015.\n']
bat,"['A bat, the\xa0flying mammal of the night. Variously depicted as a brown, black, or gray bat, with wings outspread and pointy ears, facing forward or left.', 'Often used in association with Halloween, vampires, and Batman.', 'Google’s bat was previously\xa0purplish in color, bearing two fangs. Samsung’s bat was previously brown, and\xa0Facebook’s gray.']",[],['\nBat was approved as part of Unicode 9.0 in 2016 and added to Emoji 3.0 in 2016.\n']
bathtub,"['A white bathtub with a silver shower head. Often depicted as a cast-iron tub with claw-foot legs. Commonly used for various content concerning bathing, washing, cleaning, and bathrooms more generally.', 'Several platforms, including Apple and Facebook, feature soap bubbles or suds. Samsung’s design displays streaming water from the shower head.', 'Vendors implement 🛀\xa0Person Taking a Bath with the same or a similar emoji, but with a person soaking in the tub.']",[],['\nBathtub was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
battery,"['An electric battery, as used to power such devices as a flashlight. Generally depicted as an upright, green cylinder, as a AA or D cell, with white indicators for its positive (facing up) and negative terminals.', 'Commonly used for various content concerning electricity, charging, energy, and power, especially in figurative senses. Its green color also suggests the icon for battery power on\xa0a cell/mobile phone.', 'Apple’s design includes a voltage symbol; WhatsApp’s battery is blue.']",[],['\nBattery was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
beach-with-umbrella,"['A beach showing sand, and an umbrella for protection from the sun.']",[],['\nBeach with Umbrella was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.\n']
beaming-face-with-smiling-eyes,"['A yellow face with smiling eyes and full-toothed grin, as if saying Cheese!\xa0for the camera.\xa0Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud.', ""Prior to 2017, Apple's design resembled its\xa0😬 Grimacing Face.""]",[],"['\nBeaming Face with Smiling Eyes was approved as part of Unicode 6.0 in 2010 under the name “Grinning Face with Smiling Eyes” and added to Emoji 1.0 in 2015.\n', '🚩 Appearance historically differs greatly\xa0cross-platform. Use with caution.\xa0🚨']"
beans,"['Beans, as used in cuisines around the world. \xa0', 'May be used to talk about food, flatulence (caused by eating beans), or coffee beans.', 'Also used to discuss money, counting, or a small amount of something.\xa0', 'May be used to refer to the head. Additionally may be used with phrases such as spill the beans, full of beans, or cool beans.\xa0']",[],"['\nBeans was approved as part of Unicode 14.0 in 2021 and added to Emoji 14.0 in 2021.\n', '🚩 Approved in September 2021 as part of Emoji 14.0. Now available across all major emoji platforms.']"
bear,"['A friendly, cartoon-styled face of bear, looking straight ahead. Depicted as a brown bear with round ears and a tan muzzle.\xa0Resembles a teddy bear.', 'Often used with an affectionate tone. Does not have a full-bodied bear emoji counterpart.', 'Available as an Apple Animoji.', 'Samsung’s bear was previously golden brown.']",[],['\nBear was approved as part of Unicode 6.0 in 2010 under the name “Bear Face” and added to Emoji 1.0 in 2015.\n']
beating-heart,"['A heart with vibration/movement lines above it or around it, indicating it is beating. Displayed in pink or red on most platforms.', 'An early version of this emoji on iOS had the same design as\xa0💖 Sparkling Heart.']",[],['\nBeating Heart was approved as part of Unicode 6.0 in 2010 and added to Emoji 1.0 in 2015.\n']
beaver,"['A brown beaver with buckteeth and a wide paddle-like tail. Can be used in the context of actual beavers, or metaphorically to evoke qualities of beavers like working hard, as in the expression beavering away.\xa0', 'Commonly associated with Canada, as beavers are a national emblem of the country. May also be used in reference to the vagina, which is an informal sense of the word beaver.']",[],['\nBeaver was approved as part of Unicode 13.0 in 2020 and added to Emoji 13.0 in 2020.\n']
bed,"['A bed, made up for sleeping in a house, hotel, or other sleeping accommodation. Shown with a headboard at the left, footboard, mattress, pillow, and sheet. Most platforms suggest a wooden frame and feature blue or red sheets.', 'Commonly used for various content concerning beds, furniture, and housing as well as sleeping, relaxing, and other bedroom activities.', 'Vendors implement the same style of bed for 🛌\xa0Person in Bed, but without a sleeper under the covers.']",[],['\nBed was approved as part of Unicode 7.0 in 2014 and added to Emoji 1.0 in 2015.\n']
