CLDR,Meaning,Note,Unicode
backhand-index-pointing-down,['Index finger pointing downward.'],[],['\nBackhand Index Pointing Down was approved as part of Unicode 6.0 in 2010 under the name “White Down Pointing Backhand Index” and added to Emoji 1.0 in 2015.\n']
backhand-index-pointing-left-dark-skin-tone,[],['\nThe Backhand Index Pointing Left: Dark Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Left: Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-left-light-skin-tone,[],['\nThe Backhand Index Pointing Left: Light Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Left: Light Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-left-medium-dark-skin-tone,[],['\nThe Backhand Index Pointing Left: Medium-Dark Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Left: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-left-medium-light-skin-tone,[],['\nThe Backhand Index Pointing Left: Medium-Light Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏼 Medium-Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Left: Medium-Light Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-left-medium-skin-tone,[],['\nThe Backhand Index Pointing Left: Medium Skin Tone emoji is a modifier sequence combining 👈 Backhand Index Pointing Left and 🏽 Medium Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Left: Medium Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-left,['Index finger pointing to the left.'],[],['\nBackhand Index Pointing Left was approved as part of Unicode 6.0 in 2010 under the name “White Left Pointing Backhand Index” and added to Emoji 1.0 in 2015.\n']
backhand-index-pointing-right-dark-skin-tone,[],['\nThe Backhand Index Pointing Right: Dark Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏿 Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Right: Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-right-light-skin-tone,[],['\nThe Backhand Index Pointing Right: Light Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏻 Light Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Right: Light Skin Tone was added to Emoji 2.0 in 2015.\n']
backhand-index-pointing-right-medium-dark-skin-tone,[],['\nThe Backhand Index Pointing Right: Medium-Dark Skin Tone emoji is a modifier sequence combining 👉 Backhand Index Pointing Right and 🏾 Medium-Dark Skin Tone.\nThese display as a single emoji on supported platforms.\n'],['\nBackhand Index Pointing Right: Medium-Dark Skin Tone was added to Emoji 2.0 in 2015.\n']
